AppID,Name,Price,DLC count,Estimated owners (mid),Positive rate,Total reviews,Release date,Developers,Publishers,Genres
801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],24.99,26,150000.0,0.9398596725693285,2992,"Aug 20, 2018",FRENCH-BREAD,Arc System Works,Action
511740,Gal*Gun: Double Peace,29.99,24,150000.0,0.8677385892116183,1927,"Sep 27, 2016","INTI CREATES CO., LTD.",PQube,"Action,Adventure"
1372280,MELTY BLOOD: TYPE LUMINA,49.99,23,150000.0,0.8509290540540541,4735,"Sep 29, 2021","FRENCH-BREAD,TYPE-MOON,Lasengle Inc.,TAMSOFT CORPORATION,GameLoop Inc.",Lasengle Inc.,Action
564230,Fire Pro Wrestling World,29.99,12,150000.0,0.8877703206562267,2681,"Dec 18, 2017","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","Simulation,Sports"
985830,SUCCUBUS,24.99,11,150000.0,0.8328267477203647,2960,"Oct 5, 2021",Madmind Studio,Madmind Studio,"Action,Adventure"
622220,Fate/EXTELLA LINK,49.99,47,150000.0,0.9312724261661607,3622,"Mar 19, 2019",Marvelous Inc.,"XSEED Games,Marvelous USA, Inc.,Marvelous",Action
477770,Ride 2,29.99,17,150000.0,0.8655172413793103,2609,"Oct 7, 2016",Milestone S.r.l.,Milestone S.r.l.,"Racing,Simulation,Sports"
502800,SENRAN KAGURA ESTIVAL VERSUS,29.99,12,150000.0,0.9487071683834349,4756,"Mar 17, 2017",Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",Action
252690,Fantasy Grounds Classic,39.99,1968,150000.0,0.8051197357555739,1210,"May 9, 2014","SmiteWorks USA, LLC","SmiteWorks USA, LLC","Indie,RPG,Strategy"
1255630,WWE 2K22,38.99,10,150000.0,0.7195060057519879,5910,"Mar 10, 2022",Visual Concepts,2K,"Simulation,Sports"
511680,Fate/EXTELLA,39.99,33,150000.0,0.9176410777834265,3933,"Jul 25, 2017",Marvelous Inc.,"XSEED Games,Marvelous USA, Inc.,Marvelous",Action
520940,MX vs ATV All Out,39.99,36,150000.0,0.7863705972434916,1305,"Mar 27, 2018",Rainbow Studios,THQ Nordic,"Racing,Simulation,Sports"
1167450,DAEMON X MACHINA,49.99,14,150000.0,0.889171511627907,5503,"Feb 13, 2020",Marvelous Inc.,"XSEED Games,Marvelous USA, Inc.,Marvelous",Action
1271700,HOT WHEELS UNLEASHED™,49.99,60,150000.0,0.8037489349616587,3520,"Sep 30, 2021",Milestone S.r.l.,Milestone S.r.l.,Racing
434030,Aerofly FS 2 Flight Simulator,37.49,23,150000.0,0.784623486045287,1898,"Nov 20, 2017",IPACS,IPACS,"Action,Indie,Racing,Simulation"
